tweet_id,tweet_text,created_at,author_id,sentiment_score,sentiment_label
1942014238790144449,@Nike out here giving us a fakeass Army Vet with their Nelson commercial. Like there aren't ANY veterans out there with prosthetics!?!???? #Nike #MTVChallenge #DrunkDriver,2025-07-07 00:14:10+00:00,1372088941134942213,0.5994,positive
1942010858567254370,"Central Cee wears a Nike Australia 2025/26 Stadium Home football jersey 
-
#nike #centralcee https://t.co/Y9LtumVfGj",2025-07-07 00:00:44+00:00,1711766938907738112,0.0,neutral
1942002009328259314,"Sheshhhhhhhhh 🥶 @itsshadyblu !! @Nike What we doing!? 😁📸🏆 
#nike #losangeles #shadyblu #sunlitmedia https://t.co/aMASA6qGO4",2025-07-06 23:25:34+00:00,1445107538236641284,0.0,neutral
1941999908887703714,"@ZohranKMamdani Bernie Sanders is a Good Guy ,he would give you the shoes off the shelves of someone else's store. 
#Nike",2025-07-06 23:17:13+00:00,1806477072426024960,0.4404,positive
1941999316433825942,"Have anyone ever felt like forget this job and actually leave without no plan at all?

Just do it.

#nike",2025-07-06 23:14:52+00:00,1837089519197376512,0.3156,positive
1941995711240790355,"Air Force 1s, Air Max’s or Reebok Questions🤔👟

Spotify: https://t.co/cSpLLb3Fvn

#sneakers #sneakerhead #nike #airmax #airforce1 #reebox https://t.co/MwQyUGiILR",2025-07-06 23:00:32+00:00,1773779376967979008,0.0,neutral
1941995616231473652,"Levi's x Nike Air Max 95 ""Denim Black""
Colorway: Black/Gym Red/White
Style Number: 
Release Date: July 11, 2025
Price: $205
#AirMax #DenimBlack #levis #nike https://t.co/kAhvrPG0Gu",2025-07-06 23:00:10+00:00,1477025527164719109,0.0772,positive
1941994480267124814,"Vans and Converse Authenticity Guarantee

https://t.co/UnVFrFa4eQ

#supreme #nike #converse #vans
#jordans #adidas #gucci #shopEbay 
#AuthenticityGuarantee",2025-07-06 22:55:39+00:00,34394518,0.6808,positive
1941993494211666101,Check out the Air Max 1 Premium 'Dirty Denim' on GOAT #dirtydenim #airmax #airmax1 #nikeairmax #nikeairmax1 #airmaxdirtydenim #airmax1dirtydenim #nikedirtydenim #nike #size11 #nikesize11 #airmaxsize11 #size11m #size11sneakers #nike11m https://t.co/zMycmWr3W0 https://t.co/jfj5SrKohf,2025-07-06 22:51:44+00:00,1799093136439808002,-0.4404,negative
1941993341241135464,"I really like the Nike Dunk High Burgundy Women's
#Nike https://t.co/zwsLQHy5m4",2025-07-06 22:51:07+00:00,1727065692694884352,0.4201,positive
1941990184779657664,"Still on it 💪💪💪 
#fitnenessgoal #27community #nike #puma https://t.co/ug0goqDzOo",2025-07-06 22:38:35+00:00,1588994431444832264,0.0,neutral
1941989972745015739,"Nike Af1 With Authenticity Guarantee 
Get it Here &gt;&gt;&gt;&gt;&gt;&gt;&gt;

https://t.co/mkdLmmspzC

#ebay #nike #AuthenticityGuarantee #NoFakes #NoFrauds #AF1 #nikeAir
#shopping #shopEbay #michealJordan #Collectors #sneakerHeads",2025-07-06 22:37:44+00:00,34394518,0.25,positive
1941988028626375157,Check out the Air Max 1 Retro 'Crepe Hemp' 2022 on GOAT #airmax1 #airmaxcrepehemp #airmax1crepehemp #nikeairmax #nikeairmax1 #size11 #size11shoes #size11nike #size11nikeairmax #nike #nikesize11 https://t.co/9q9tTZixk5 https://t.co/3tthObkpdr,2025-07-06 22:30:01+00:00,1799093136439808002,0.0,neutral
1941984299059695644,Discover Our Sale &amp; Offers at #Nike &gt; https://t.co/TVz4cWGGv7 https://t.co/xtEJ4T767z,2025-07-06 22:15:11+00:00,1112516155447697408,0.2732,positive
1941983647231271423,"AIR JORDAN 1 RETRO HIGH OG ’BLACK TOE REIMAGINED’

AIR JORDAN 1 HIGH OG “UNC REIMAGINED”

UNION x AIR JORDAN 1 HIGH OG ‘Chicago/Shadow’

AIR JORDAN 3 “Seoul 2.0”

AIR JORDAN 3 “Rare Air”

#WearYourSneakers #SneakerHead #Jordan #Nike https://t.co/qFdN9qp8nc",2025-07-06 22:12:36+00:00,1460052550594478081,0.0,neutral
1941980752595300825,"What's on foot today fam?

#snkrskickcheck 
#snkrsliveheatingup #snkrs #nike  #sneakerheads #sneakers #yoursneakersaredope  #YouTube #jumpman23 #atmoscollectorsclub    #kotd #wdywt https://t.co/XTM5xiphHq",2025-07-06 22:01:06+00:00,141123702,0.0,neutral
1941979822315450439,"""I run the gambit like im throwing cards"" - @LupeFiasco 😤😤😤

#snkrskickcheck 
#snkrsliveheatingup #snkrs #nike  #sneakerheads #sneakers #yoursneakersaredope  #YouTube #jumpman23 #atmoscollectorsclub    #kotd #wdywt #outfit #outfitoftheday #hoochiedaddy https://t.co/wxMcTsLzBp",2025-07-06 21:57:24+00:00,141123702,0.3612,positive
1941977449710923796,"Deion Sanders' Sends Tear-Jerking Message to Mother in Nike Tribute #Nike #NikeAir #Americanfootball
https://t.co/jl3T1iff5R",2025-07-06 21:47:58+00:00,2934371016,0.0,neutral
1941971731129807082,Nike Dunk Low Panda Cave Stone drops fall 2025 #nike #dunk #sneakerhead ... https://t.co/W3D14VSLMO via @YouTube,2025-07-06 21:25:15+00:00,400257622,-0.2732,negative
